Period,Collections,A Interest Due,A Interest Paid,A Interest Shortfall,B Interest Due,B Interest Paid,B Interest Shortfall,A Prin Due,A Prin Paid,A Prin Shortfall,Cash Reserve,B Prin Due,B Prin Paid,B Prin Shortfall,A Balance,B Balance,Cash Reserve
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3026054.4674239997,756513.6168559999,0
1,93522.83043570667,37825.68084279999,37825.68084279999,0,12608.560280933334,12608.560280933334,0,40506.33408722048,40506.33408722048,0,2582.2552247528583,0.0,0.0,0,2985548.133336779,756513.6168559999,2582.2552247528583
2,93522.83043570667,37319.351666709736,37319.351666709736,0,12608.560280933334,12608.560280933334,0,41071.694204130516,41071.694204130516,0,5105.479508685945,0.0,0.0,0,2944476.4391326485,756513.6168559999,5105.479508685945
3,93522.83043570667,36805.95548915811,36805.95548915811,0,12608.560280933334,12608.560280933334,0,41645.04839140026,41645.04839140026,0,7568.7457829009145,0.0,0.0,0,2902831.390741248,756513.6168559999,7568.7457829009145
4,93522.83043570667,36285.3923842656,36285.3923842656,0,12608.560280933334,12608.560280933334,0,42226.51108390458,42226.51108390458,0,9971.112469504056,0.0,0.0,0,2860604.8796573435,756513.6168559999,9971.112469504056
5,93522.83043570667,35757.56099571679,35757.56099571679,0,12608.560280933334,12608.560280933334,0,42816.19837374348,42816.19837374348,0,12311.62325481711,0.0,0.0,0,2817788.6812836,756513.6168559999,12311.62325481711
6,93522.83043570667,35222.358516045,35222.358516045,0,12608.560280933334,12608.560280933334,0,43414.22803450275,43414.22803450275,0,14589.306859042692,0.0,0.0,0,2774374.4532490973,756513.6168559999,14589.306859042692
7,93522.83043570667,34679.68066561371,34679.68066561371,0,12608.560280933334,12608.560280933334,0,44020.71954587415,44020.71954587415,0,16803.176802328162,0.0,0.0,0,2730353.733703223,756513.6168559999,16803.176802328162
8,93522.83043570667,34129.421671290285,34129.421671290285,0,12608.560280933334,12608.560280933334,0,44635.79411863937,44635.79411863937,0,18952.231167171834,0.0,0.0,0,2685717.9395845835,756513.6168559999,18952.231167171834
9,93522.83043570667,33571.474244807294,33571.474244807294,0,12608.560280933334,12608.560280933334,0,45259.574720023615,45259.574720023615,0,21035.452357114256,0.0,0.0,0,2640458.36486456,756513.6168559999,21035.452357114256
10,93522.83043570667,33005.729560807,33005.729560807,0,12608.560280933334,12608.560280933334,0,45892.186099424354,45892.186099424354,0,23051.806851656227,0.0,0.0,0,2594566.1787651354,756513.6168559999,23051.806851656227
11,93522.83043570667,32432.07723456419,32432.07723456419,0,12608.560280933334,12608.560280933334,0,46533.75481452048,46533.75481452048,0,25000.244957344883,0.0,0.0,0,2548032.423950615,756513.6168559999,25000.244957344883
12,93522.83043570667,31850.405299382688,31850.405299382688,0,12608.560280933334,12608.560280933334,0,47184.409257768406,47184.409257768406,0,26879.700554967116,0.0,0.0,0,2500848.0146928467,756513.6168559999,26879.700554967116
13,93522.83043570667,31260.600183660583,31260.600183660583,0,12608.560280933334,12608.560280933334,0,47844.279683289504,47844.279683289504,0,28689.090842790356,0.0,0.0,0,2453003.735009557,756513.6168559999,28689.090842790356
14,93522.83043570667,30662.546687619466,30662.546687619466,0,12608.560280933334,12608.560280933334,0,48513.49823415633,48513.49823415633,0,30427.316075787894,0.0,0.0,0,2404490.2367754006,756513.6168559999,30427.316075787894
