Period,Recoveries,TotalCollections(+ Reco + Reserve),A Interest Due,A Interest Paid,A Interest Shortfall,B Interest Due,B Interest Paid,B Interest Shortfall,A Prin Due,A Prin Paid,A Prin Shortfall,Cash Reserve,B Prin Due,B Prin Paid,B Prin Shortfall,A Balance,B Balance,Cash Reserve
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3026054.4674239997,756513.6168559999,0
1,0,93522.83043570664,30260.544674239994,30260.544674239994,0,9456.420210699998,9456.420210699998,0,40506.33408722048,40506.33408722048,0,13299.531463546191,0.0,0.0,0,2985548.133336779,756513.6168559999,13299.531463546191
2,0,106822.36189925284,29855.48133336779,29855.48133336779,0,9456.420210699998,9456.420210699998,0,41071.694204130516,41071.694204130516,0,26438.76615105456,0.0,0.0,0,2944476.4391326485,756513.6168559999,26438.76615105456
3,0,119961.59658676121,29444.764391326487,29444.764391326487,0,9456.420210699998,9456.420210699998,0,41645.04839140026,41645.04839140026,0,39415.36359333447,0.0,0.0,0,2902831.390741248,756513.6168559999,39415.36359333447
4,0,132938.1940290411,29028.31390741248,29028.31390741248,0,9456.420210699998,9456.420210699998,0,42226.51108390458,42226.51108390458,0,52226.94882702407,0.0,0.0,0,2860604.8796573435,756513.6168559999,52226.94882702407
5,7060.372626,152415.7513236613,28606.048796573436,28606.048796573436,0,9456.420210699998,9456.420210699998,0,42617.876279242024,42617.876279242024,0,71735.40603714588,0.0,0.0,0,2817987.0033781016,756513.6168559999,71735.40603714588
6,0,164863.83590778307,28179.870033781015,28179.870033781015,0,9456.420210699998,9456.420210699998,0,43213.26658133086,43213.26658133086,0,84014.27908197124,0.0,0.0,0,2774773.7367967707,756513.6168559999,84014.27908197124
7,0,177142.7089526085,27747.737367967708,27747.737367967708,0,9456.420210699998,9456.420210699998,0,43817.083608272354,43817.083608272354,0,96121.46776566848,0.0,0.0,0,2730956.653188498,756513.6168559999,96121.46776566848
8,0,189249.89763630572,27309.566531884982,27309.566531884982,0,9456.420210699998,9456.420210699998,0,44429.448103378956,44429.448103378956,0,108054.46279034181,0.0,0.0,0,2686527.205085119,756513.6168559999,108054.46279034181
9,0,201182.89266097907,26865.27205085119,26865.27205085119,0,9456.420210699998,9456.420210699998,0,45050.48256018532,45050.48256018532,0,119810.71783924256,0.0,0.0,0,2641476.722524934,756513.6168559999,119810.71783924256
10,7660.634346,220222.55380909244,26414.76722524934,26414.76722524934,0,9456.420210699998,9456.420210699998,0,45477.985558629116,45477.985558629116,0,138873.38081451395,0.0,0.0,0,2595998.736966305,756513.6168559999,138873.38081451395
11,7742.0735939999995,238996.10314214375,25959.98736966305,25959.98736966305,0,9456.420210699998,9456.420210699998,0,45935.886830117444,45935.886830117444,0,157643.80873166336,0.0,0.0,0,2550062.8501361874,756513.6168559999,157643.80873166336
12,0,250024.45746529326,25500.628501361873,25500.628501361873,0,9456.420210699998,9456.420210699998,0,46578.73833885968,46578.73833885968,0,168488.6704143717,0.0,0.0,0,2503484.1117973276,756513.6168559999,168488.6704143717
13,0,260869.31914800155,25034.841117973276,25034.841117973276,0,9456.420210699998,9456.420210699998,0,47230.70345337803,47230.70345337803,0,179147.35436595033,0.0,0.0,0,2456253.40834395,756513.6168559999,179147.35436595033
14,0,271528.0030995802,24562.5340834395,24562.5340834395,0,9456.420210699998,9456.420210699998,0,47891.91296668895,47891.91296668895,0,189617.1358387518,0.0,0.0,0,2408361.4953772607,756513.6168559999,189617.1358387518
15,0,281997.78457238164,24083.614953772605,24083.614953772605,0,9456.420210699998,9456.420210699998,0,48562.499570559325,48562.499570559325,0,199895.24983734978,0.0,0.0,0,2359798.9958067015,756513.6168559999,199895.24983734978
16,0,292275.8985709796,23597.989958067014,23597.989958067014,0,9456.420210699998,9456.420210699998,0,49242.59788336825,49242.59788336825,0,209978.8905188444,0.0,0.0,0,2310556.397923333,756513.6168559999,209978.8905188444
17,10848.187794,312685.0084404672,23105.563979233328,23105.563979233328,0,9456.420210699998,9456.420210699998,0,49628.16060548948,49628.16060548948,0,230494.86364504436,0.0,0.0,0,2260928.237317844,756513.6168559999,230494.86364504436
18,0,322352.7937726672,22609.28237317844,22609.28237317844,0,9456.420210699998,9456.420210699998,0,50323.74750328345,50323.74750328345,0,239963.34368550527,0.0,0.0,0,2210604.4898145604,756513.6168559999,239963.34368550527
19,0,331821.27381312806,22106.044898145603,22106.044898145603,0,9456.420210699998,9456.420210699998,0,51029.21060660156,51029.21060660156,0,249229.5980976809,0.0,0.0,0,2159575.279207959,756513.6168559999,249229.5980976809
20,0,341087.5282253036,21595.752792079587,21595.752792079587,0,9456.420210699998,9456.420210699998,0,51744.691862921194,51744.691862921194,0,258290.66335960288,0.0,0.0,0,2107830.5873450376,756513.6168559999,258290.66335960288
